sample_id	frac_genome	tot_coverage	type
SA604	0.000417041782668476	6.505766196256e-05	DNA
SA604	0.000835513259483912	0.000131725660867561	DNA
SA604	0.00125412770571404	0.000199019946724849	DNA
SA604	0.0016740002827935	0.000276456076668054	DNA
SA604	0.00209644630933749	0.000356055640813084	DNA
SA604	0.00252106547098486	0.000437682337393014	DNA
SA604	0.00294608494699337	0.000523430987407176	DNA
SA604	0.00337282005597824	0.000612995656340088	DNA
SA604	0.00380167111230062	0.000703900468356488	DNA
SA604	0.00423126560957941	0.000798762684078567	DNA
SA604	0.00466337636855685	0.000896732595779282	DNA
SA604	0.00509560150306605	0.000999179169639378	DNA
SA604	0.0055301999298592	0.00110229269003143	DNA
SA604	0.00596599929973581	0.00120608572341001	DNA
SA604	0.00640231335950531	0.00131016695241263	DNA
SA604	0.00684140102591993	0.00141653672314965	DNA
SA604	0.00728091760057863	0.00152315120752463	DNA
SA604	0.00772252152869189	0.00163243111196565	DNA
SA604	0.00816558374483505	0.00174287264569557	DNA
SA604	0.008609217838637	0.00185429560067941	DNA
SA604	0.00905451037764942	0.0019665072474347	DNA
SA604	0.00950000307384242	0.00207996852849034	DNA
SA604	0.00994746874795822	0.00219409124051132	DNA
SA604	0.0103961925529233	0.00230950676920254	DNA
SA604	0.0108450021395373	0.00242526631971073	DNA
SA604	0.011294412197693	0.00254224494336932	DNA
SA604	0.0117442511640927	0.00265947149359892	DNA
SA604	0.0121942330999072	0.00278013879411829	DNA
SA604	0.0126449298827951	0.00290240246841024	DNA
SA604	0.0130957982289807	0.00302527476982425	DNA
SA604	0.0135472956405909	0.00315093475223416	DNA
SA604	0.0139994507115087	0.00327877745590368	DNA
SA604	0.0144519203151389	0.0034072069957662	DNA
SA604	0.0149047616392473	0.00353996667561412	DNA
SA604	0.015357917496068	0.0036734418922917	DNA
SA604	0.0158116738244304	0.00380739261987481	DNA
SA604	0.0162657160916222	0.00394198589493623	DNA
SA604	0.0167199299221117	0.00407825603786484	DNA
SA604	0.0171746298486111	0.00421467518284154	DNA
SA604	0.0176297586833546	0.0043516826325189	DNA
SA604	0.0180853450202252	0.00448886112062169	DNA
SA604	0.018541245889808	0.00462747266010954	DNA
SA604	0.0189972325410397	0.00476634846495907	DNA
SA604	0.0194537910699302	0.00490695335154702	DNA
SA604	0.0199105783498842	0.00504816951848833	DNA
SA604	0.0203677659441993	0.00518956516568308	DNA
SA604	0.0208249535385145	0.00533169316883997	DNA
SA604	0.0212821411328296	0.00547394853825115	DNA
SA604	0.0217398434170376	0.00561736181798646	DNA
SA604	0.0221976886706604	0.00576096338792586	DNA
SA604	0.022656534710186	0.00590629135331403	DNA
SA604	0.0231154951252434	0.00605199277539506	DNA
SA604	0.0235758280466818	0.00619819563718052	DNA
SA604	0.0240361895620032	0.00634441078671477	DNA
SA604	0.024496837016154	0.00649083225022392	DNA
SA604	0.0249574844703048	0.00663766757838374	DNA
SA604	0.0254181319244555	0.0067878844053174	DNA
SA604	0.025878922348021	0.00693943155401744	DNA
SA604	0.0263398843348841	0.00709192923592215	DNA
SA604	0.0268008463217472	0.00724463238622491	DNA
SA604	0.0272618654963762	0.00739770606835316	DNA
SA604	0.0277230848281858	0.00755135695484539	DNA
SA604	0.0281845900988247	0.00770835750452227	DNA
SA604	0.0286462955266443	0.00786653875118578	DNA
SA604	0.0291080581422297	0.00802550982724618	DNA
SA604	0.0295699065394639	0.00818532584784321	DNA
SA604	0.0300319550938787	0.00834734467145248	DNA
SA604	0.0304940608360594	0.00850980515979317	DNA
SA604	0.030956195172123	0.00867230788684717	DNA
SA604	0.0314185582592502	0.00883497638619123	DNA
SA604	0.0318809499402602	0.00899777087986805	DNA
SA604	0.0323433988090362	0.00916098971799117	DNA
SA604	0.032805933459461	0.00932488955443639	DNA
SA604	0.0332684967037687	0.00948895093817515	DNA
SA604	0.0337311743236081	0.00965366675426729	DNA
SA604	0.0341938805373305	0.00981856999248312	DNA
SA604	0.0346567869082335	0.00998385567906381	DNA
SA604	0.0351198076546682	0.0101496659219975	DNA
SA604	0.0355829999644006	0.0103159682706304	DNA
SA604	0.0360462208680159	0.0104834052079174	DNA
SA604	0.0365094417716312	0.0106516583678103	DNA
SA604	0.036972920020193	0.0108205876500183	DNA
SA604	0.0374363982687548	0.01098981390534	DNA
SA604	0.0378999337050824	0.0111599601413793	DNA
SA604	0.0383635835169418	0.0113307360680865	DNA
SA604	0.0388272905165671	0.0115022403327723	DNA
SA604	0.0392909975161924	0.011676087644545	DNA
SA604	0.0397547331097006	0.0118510131123772	DNA
SA604	0.0402184972970917	0.0120270814671067	DNA
SA604	0.0406824616416635	0.0122037816045401	DNA
SA604	0.0411465975495328	0.0123809705455219	DNA
SA604	0.0416107334574022	0.0125586492176774	DNA
SA604	0.0420749265530374	0.0127369074656357	DNA
SA604	0.0425391482425556	0.0129153173360142	DNA
SA604	0.0430035129014885	0.0130939179864282	DNA
SA604	0.0434679347481873	0.0132736808075114	DNA
SA604	0.043932356594886	0.0134536134419691	DNA
SA604	0.0443968070354677	0.0136346116797729	DNA
SA604	0.044861429039347	0.0138163417610348	DNA
SA604	0.0453260796371093	0.0139985360850845	DNA
SA604	0.0457907874226375	0.0141807787253064	DNA
SA604	0.0462557525531121	0.0143634963139441	DNA
SA604	0.0467207462774696	0.0145466089041579	DNA
SA604	0.047185797189593	0.0147297764038926	DNA
SA604	0.0476509338833653	0.014913496013119	DNA
SA604	0.0481161563587863	0.0150975945767813	DNA
SA604	0.0485814646158562	0.015282041435351	DNA
