clone_name	variable	value
A	mean_1_plus_s	1.049576852
B	mean_1_plus_s	1.010810423
C	mean_1_plus_s	1.010922082
D	mean_1_plus_s	1.007493763
E	mean_1_plus_s	1.007172507
F	mean_1_plus_s	1.017559206
G	mean_1_plus_s	1.029855173
H	mean_1_plus_s	0.993504743
I	mean_1_plus_s	0.993630535
J	mean_1_plus_s	1.022355851
K	mean_1_plus_s	1
